1012_133424_000001_000000  [
  0.1735101 265.7313 
  0.3123826 265.7313 
  -0.149799 265.7313 
  -0.03293903 265.7313 
  0.4043878 265.7313 
  0.6784506 265.7313 
  0.6090959 267.06 
  0.281511 268.3953 
  0.783063 271.0859 
  0.8937004 264.4093 
  0.9026402 259.1866 
  0.9368612 255.3373 
  0.9610841 252.8029 
  0.9820086 255.3373 
  0.9743313 257.8971 
  0.9542171 261.7849 
  0.9729201 267.06 
  0.9785468 268.3953 
  0.9537656 267.06 
  0.944345 264.4093 
  0.855745 265.7313 
  0.8619412 267.06 
  0.9265862 267.06 
  0.8899502 267.06 
  0.8179536 268.3953 
  0.5024806 269.7372 
  0.1432508 272.4414 
  0.02005782 275.1726 
  -0.07269944 277.9312 
  0.1506405 280.7175 
  0.1363465 283.5317 
  -0.1155657 287.806 
  0.3575042 292.1447 
  0.8057225 295.0734 
  0.8834881 296.5488 
  0.9718173 293.6054 
  0.9678159 289.245 
  0.9736272 284.9493 
  0.984536 280.7175 
  0.9899346 276.5485 
  0.9926779 273.8036 
  0.9915837 269.7372 
  0.9950345 267.06 
  0.9882023 264.4093 
  0.9882182 260.4825 
  0.9725466 255.3373 
  0.9432792 251.5452 
  0.8749447 244.1292 
  0.7587249 235.753 
  0.5878934 227.6642 
  0.5526786 215.5104 
  0.7307886 207.0808 
  0.8778068 201.9805 
  0.905584 197.0059 
  0.9207018 194.0801 
  0.9584067 192.1537 
  0.8959832 193.1145 
  0.5982347 193.1145 
  0.1126142 191.1978 
  0.01665329 191.1978 
  0.3306955 192.1537 
  0.6059578 192.1537 
  0.5012386 192.1537 
  0.2494448 191.1978 
  0.2945964 190.2465 
  0.2226803 189.3 
  -0.08636065 188.3582 
  -0.131425 187.4211 
  0.1722325 186.4887 
  0.03344541 186.4887 
  -0.2375072 186.4887 
  -0.2476655 186.4887 
  -0.3223755 186.4887 
  -0.2126086 186.4887 
  -0.04514765 187.4211 
  -0.02680114 188.3582 
  -0.01275448 189.3 
  -0.08381793 190.2465 
  -0.172929 191.1978 
  -0.01308689 192.1537 
  -0.08040225 193.1145 
  -0.01653492 194.0801 
  0.01459299 195.0505 
  -0.04966927 196.0257 
  0.1316615 197.0059 
  0.1095557 197.9909 
  0.2672718 198.9809 
  0.4691012 199.9758 
  0.7608139 200.9756 
  0.9063587 201.9805 
  0.9472587 202.9904 
  0.9669911 201.9805 
  0.9907312 200.9756 
  0.9916131 199.9758 
  0.9925491 199.9758 
  0.9892004 199.9758 
  0.9786046 204.0054 
  0.891715 212.3098 
  0.913001 217.6709 
  0.9331583 218.7592 
  0.941399 213.3714 
  0.9177542 207.0808 
  0.9645981 204.0054 
  0.9819643 202.9904 
  0.9918401 202.9904 
  0.9936215 202.9904 
  0.9958512 202.9904 
  0.9974186 204.0054 
  0.9970426 205.0254 
  0.9965727 205.0254 
  0.9968016 206.0505 
  0.9685131 208.1162 
  0.6549993 213.3714 
  0.6056592 213.3714 
  0.7415817 209.1568 
  0.9672459 210.2025 
  0.9753195 211.2535 
  0.9885708 211.2535 
  0.9902866 212.3098 
  0.9837005 214.4382 
  0.982119 216.5879 
  0.9873481 218.7592 
  0.9880004 219.853 
  0.9201763 219.853 
  0.8681909 220.9523 
  0.872745 220.9523 
  0.988701 220.9523 
  0.9951802 222.057 
  0.9945867 220.9523 
  0.9931251 220.9523 
  0.9930285 222.057 
  0.9293577 227.6642 
  0.9441786 229.9466 
  0.9634966 228.8026 
  0.996398 226.5316 
  0.9978653 226.5316 
  0.9966084 224.2832 
  0.9951 223.1673 
  0.9957393 222.057 
  0.9972614 223.1673 
  0.995909 224.2832 
  0.9949458 225.4046 
  0.9953651 227.6642 
  0.9771279 229.9466 
  0.9463724 231.0963 
  0.8217964 229.9466 
  0.9516405 218.7592 
  0.9822111 213.3714 
  0.9825654 212.3098 
  0.9683341 211.2535 
  0.9543817 210.2025 
  0.9356065 209.1568 
  0.9281566 209.1568 
  0.7783643 209.1568 
  0.573289 209.1568 
  0.1585817 209.1568 
  -0.2373665 209.1568 
  0.03672469 209.1568 
  0.1292441 209.1568 
  0.1027432 210.2025 
  0.2366141 211.2535 
  0.6858713 211.2535 
  0.7844678 208.1162 
  0.9447095 205.0254 
  0.9934388 202.9904 
  0.9706107 204.0054 
  0.9597601 206.0505 
  0.9623392 207.0808 
  0.9566573 206.0505 
  0.9654223 204.0054 
  0.9573912 202.9904 
  0.9486656 201.9805 
  0.9159355 198.9809 
  0.9618161 194.0801 
  0.9783753 192.1537 
  0.9767963 190.2465 
  0.9742017 188.3582 
  0.9554389 186.4887 
  0.9239866 185.5609 
  0.7690127 185.5609 
  0.8546071 187.4211 
  0.9290525 190.2465 
  0.9809402 192.1537 
  0.9877303 192.1537 
  0.9909523 192.1537 
  0.9939365 192.1537 
  0.9928015 190.2465 
  0.9911728 188.3582 
  0.9833719 185.5609 
  0.9814025 184.6377 
  0.9762694 182.8051 
  0.9846793 180.9906 
  0.9817464 180.0902 
  0.9739705 179.1942 
  0.9170017 177.4156 
  0.8922042 174.7808 
  0.9137195 173.046 
  0.8643383 172.185 
  0.851091 170.476 
  0.927681 169.6279 
  0.935153 168.784 
  0.9135746 167.9442 
  0.9182573 167.9442 
  0.9510924 167.9442 
  0.9403412 167.9442 
  0.9230098 167.9442 
  0.8710696 167.9442 
  0.8513885 168.784 
  0.8448411 169.6279 
  0.7475065 169.6279 
  0.7249886 169.6279 ]
